What is your gender identity?,What is your race/ethnicity?,What was the highest mathematics course that you took before your current Calculus I course?,Pick the field that is closest to what you want to do after graduating. Select all that apply.,Do you plan to take Calculus II?,"""If you answered no or maybe, why not?"""
"""Transgender man (female at birth, identify as a man)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Visual arts,No,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
"""Cis-gender woman (female at birth, identify as a woman)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus AB or equivalent,Mathematics,Yes,It is not required for my major / I have too many other courses that I need to complete.
"""Transgender man (female at birth, identify as a man)""",Other:,AP Calculus AB or equivalent,Engineering/architecture,Yes,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Intersex (have a combination of male and female biological traits),Other:,Pre-calculus or Trigonometry,Earth and/or space science,No,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",2 or more races,Algebra 2 or College Algebra,English/communication,No,My experience in Calculus I made me decide not to take Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Black/African American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Social services,Maybe,I changed my major and now do not need to take Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus AB or equivalent,Economics,Maybe,It is not required for my major / I have too many other courses that I need to complete.
Other:,White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Visual arts,Yes,My grade in Calculus I was not good enough to continue to Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Chemistry,No,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Agender (don't identify as any gender),White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Business/finance,No,Other:
Other:,Hispanic/Latinx,Pre-calculus or Trigonometry,English/communication,No,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
"""Transgender woman (male at birth, identify as a woman)""",Hispanic/Latinx,AP Calculus BC or equivalent,Engineering/architecture,Yes,I changed my major and now do not need to take Calculus II.
Agender (don't identify as any gender),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus AB or equivalent,Computer Science/technology,Maybe,Other:
Agender (don't identify as any gender),Asian/Asian American (non-Hispanic/Latinx),Other:,Social services,No,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
Agender (don't identify as any gender),2 or more races,AP Calculus AB or equivalent,Engineering/architecture,No,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus AB or equivalent,Mathematics,Maybe,It is not required for my major / I have too many other courses that I need to complete.
"""Transgender man (female at birth, identify as a man)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Other:,Engineering/architecture,Yes,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
Gender fluid (gender identity and/or expression varies over time),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Education,No,My grade in Calculus I was not good enough to continue to Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Other:,AP Calculus BC or equivalent,English/communication,Yes,My grade in Calculus I was not good enough to continue to Calculus II.
Other:,Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Algebra 2 or College Algebra,English/communication,No,It is not required for my major / I have too many other courses that I need to complete.
"""Cis-gender man (male at birth, identify as a man)""",2 or more races,Algebra 2 or College Algebra,Physics,Yes,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Agender (don't identify as any gender),2 or more races,Pre-calculus or Trigonometry,Computer Science/technology,No,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",2 or more races,AP Calculus BC or equivalent,Education,No,My experience in Calculus I made me decide not to take Calculus II.
Gender fluid (gender identity and/or expression varies over time),Other:,AP Calculus AB or equivalent,Engineering/architecture,No,Other:
Intersex (have a combination of male and female biological traits),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Other:,Economics,Yes,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Asian/Asian American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Education,Maybe,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
Agender (don't identify as any gender),White (non-Hispanic/Latinx),Other:,Computer Science/technology,Maybe,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Philosophy,Yes,Other:
Intersex (have a combination of male and female biological traits),Black/African American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Earth and/or space science,No,It is not required for my major / I have too many other courses that I need to complete.
Gender fluid (gender identity and/or expression varies over time),Asian/Asian American (non-Hispanic/Latinx),Other:,Chemistry,No,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Biology,No,n/a - I am taking Calculus II.
Agender (don't identify as any gender),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus BC or equivalent,English/communication,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus AB or equivalent,Chemistry,Maybe,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
Gender fluid (gender identity and/or expression varies over time),White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Social services,Maybe,My grade in Calculus I was not good enough to continue to Calculus II.
Other:,Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Other:,Visual arts,Yes,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
"""Transgender woman (male at birth, identify as a woman)""",Other:,Pre-calculus or Trigonometry,Visual arts,No,n/a - I am taking Calculus II.
Agender (don't identify as any gender),2 or more races,AP Calculus BC or equivalent,Social sciences,No,Other:
"""Cis-gender woman (female at birth, identify as a woman)""",Hispanic/Latinx,AP Calculus AB or equivalent,Performing arts,No,It is not required for my major / I have too many other courses that I need to complete.
Agender (don't identify as any gender),Asian/Asian American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Law/government,No,My grade in Calculus I was not good enough to continue to Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Hispanic/Latinx,AP Calculus AB or equivalent,Mathematics,Yes,My grade in Calculus I was not good enough to continue to Calculus II.
Intersex (have a combination of male and female biological traits),2 or more races,Algebra 2 or College Algebra,Performing arts,Maybe,Other:
Non-binary / genderqueer (don't identify exclusively as a man or a woman),White (non-Hispanic/Latinx),Other:,Economics,No,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",Black/African American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Chemistry,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),Asian/Asian American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Modern language,Yes,It is not required for my major / I have too many other courses that I need to complete.
Agender (don't identify as any gender),Hispanic/Latinx,AP Calculus AB or equivalent,Computer Science/technology,Maybe,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Non-binary / genderqueer (don't identify exclusively as a man or a woman),White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Biology,Yes,My grade in Calculus I was not good enough to continue to Calculus II.
Other:,Black/African American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Earth and/or space science,Yes,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
"""Transgender man (female at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Modern language,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),Hispanic/Latinx,Algebra 2 or College Algebra,Chemistry,No,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus AB or equivalent,Social services,Maybe,It is not required for my major / I have too many other courses that I need to complete.
Intersex (have a combination of male and female biological traits),Other:,AP Calculus AB or equivalent,Social services,No,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Black/African American (non-Hispanic/Latinx),Other:,Medicine/health,Maybe,My grade in Calculus I was not good enough to continue to Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Chemistry,Maybe,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Gender fluid (gender identity and/or expression varies over time),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus BC or equivalent,Chemistry,Maybe,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Gender fluid (gender identity and/or expression varies over time),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Algebra 2 or College Algebra,Philosophy,Yes,My experience in Calculus I made me decide not to take Calculus II.
Agender (don't identify as any gender),Black/African American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Earth and/or space science,Maybe,Other:
"""Cis-gender woman (female at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Social services,No,I changed my major and now do not need to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Earth and/or space science,No,Other:
Intersex (have a combination of male and female biological traits),White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Medicine/health,No,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",Black/African American (non-Hispanic/Latinx),Other:,Economics,Maybe,It is not required for my major / I have too many other courses that I need to complete.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,AP Calculus AB or equivalent,Business/finance,Yes,It is not required for my major / I have too many other courses that I need to complete.
Agender (don't identify as any gender),Black/African American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Visual arts,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Black/African American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Modern language,Yes,It is not required for my major / I have too many other courses that I need to complete.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),Other:,Philosophy,Yes,Other:
Other:,Black/African American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Biology,No,It is not required for my major / I have too many other courses that I need to complete.
"""Transgender man (female at birth, identify as a man)""",2 or more races,Other:,Performing arts,Maybe,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Black/African American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Medicine/health,Yes,Other:
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Black/African American (non-Hispanic/Latinx),Algebra 2 or College Algebra,English/communication,Maybe,Other:
Other:,White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Chemistry,Maybe,It is not required for my major / I have too many other courses that I need to complete.
"""Transgender man (female at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Social sciences,Maybe,My grade in Calculus I was not good enough to continue to Calculus II.
Intersex (have a combination of male and female biological traits),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Other:,English/communication,Yes,Other:
"""Cis-gender woman (female at birth, identify as a woman)""",Hispanic/Latinx,Algebra 2 or College Algebra,Performing arts,Maybe,My grade in Calculus I was not good enough to continue to Calculus II.
Gender fluid (gender identity and/or expression varies over time),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Education,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Black/African American (non-Hispanic/Latinx),Other:,Social services,Yes,I changed my major and now do not need to take Calculus II.
Intersex (have a combination of male and female biological traits),Other:,Other:,Business/finance,Maybe,I changed my major and now do not need to take Calculus II.
Agender (don't identify as any gender),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Education,Yes,Other:
Other:,Other:,Pre-calculus or Trigonometry,Law/government,Yes,Other:
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Mathematics,No,Other:
Gender fluid (gender identity and/or expression varies over time),White (non-Hispanic/Latinx),Other:,Physics,Yes,It is not required for my major / I have too many other courses that I need to complete.
"""Transgender woman (male at birth, identify as a woman)""",Black/African American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Medicine/health,Yes,My experience in Calculus I made me decide not to take Calculus II.
Intersex (have a combination of male and female biological traits),2 or more races,Algebra 2 or College Algebra,Mathematics,Yes,My experience in Calculus I made me decide not to take Calculus II.
"""Transgender man (female at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Education,Maybe,Other:
"""Cis-gender man (male at birth, identify as a man)""",2 or more races,AP Calculus AB or equivalent,Business/finance,No,n/a - I am taking Calculus II.
Other:,2 or more races,AP Calculus BC or equivalent,Environmental science/studies,Yes,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Other:,Hispanic/Latinx,AP Calculus BC or equivalent,Performing arts,Maybe,Other:
Agender (don't identify as any gender),Hispanic/Latinx,Other:,Visual arts,Yes,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,English/communication,Maybe,It is not required for my major / I have too many other courses that I need to complete.
Agender (don't identify as any gender),Asian/Asian American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Visual arts,Maybe,It is not required for my major / I have too many other courses that I need to complete.
"""Cis-gender woman (female at birth, identify as a woman)""",Other:,Algebra 2 or College Algebra,Social services,Maybe,My grade in Calculus I was not good enough to continue to Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Algebra 2 or College Algebra,Performing arts,Maybe,My grade in Calculus I was not good enough to continue to Calculus II.
Intersex (have a combination of male and female biological traits),Other:,Algebra 2 or College Algebra,Business/finance,Maybe,My grade in Calculus I was not good enough to continue to Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Other:,Algebra 2 or College Algebra,Social services,Maybe,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Hispanic/Latinx,AP Calculus AB or equivalent,Modern language,Maybe,My experience in Calculus I made me decide not to take Calculus II.
Gender fluid (gender identity and/or expression varies over time),White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Philosophy,No,My experience in Calculus I made me decide not to take Calculus II.
Agender (don't identify as any gender),White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Chemistry,Yes,n/a - I am taking Calculus II.
Agender (don't identify as any gender),White (non-Hispanic/Latinx),Other:,Law/government,No,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Biology,Yes,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Other:,AP Calculus AB or equivalent,Social sciences,No,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus AB or equivalent,Chemistry,No,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,AP Calculus BC or equivalent,Medicine/health,Yes,Other:
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,AP Calculus BC or equivalent,Business/finance,No,Other:
Intersex (have a combination of male and female biological traits),Other:,Other:,Medicine/health,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus AB or equivalent,English/communication,Yes,Other:
Gender fluid (gender identity and/or expression varies over time),Asian/Asian American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Social sciences,Yes,Other:
Intersex (have a combination of male and female biological traits),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Business/finance,Maybe,It is not required for my major / I have too many other courses that I need to complete.
"""Transgender woman (male at birth, identify as a woman)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Algebra 2 or College Algebra,Chemistry,No,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Algebra 2 or College Algebra,Medicine/health,Yes,Other:
Agender (don't identify as any gender),Black/African American (non-Hispanic/Latinx),Other:,Economics,No,My grade in Calculus I was not good enough to continue to Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Hispanic/Latinx,AP Calculus AB or equivalent,Performing arts,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Hispanic/Latinx,Algebra 2 or College Algebra,Education,No,Other:
Intersex (have a combination of male and female biological traits),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Business/finance,Maybe,I changed my major and now do not need to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Other:,AP Calculus AB or equivalent,Physics,No,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Business/finance,No,My grade in Calculus I was not good enough to continue to Calculus II.
"""Transgender man (female at birth, identify as a man)""",Black/African American (non-Hispanic/Latinx),Other:,Economics,No,I changed my major and now do not need to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Black/African American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Business/finance,Yes,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Philosophy,Maybe,It is not required for my major / I have too many other courses that I need to complete.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Chemistry,Maybe,My grade in Calculus I was not good enough to continue to Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus AB or equivalent,Social services,No,It is not required for my major / I have too many other courses that I need to complete.
Intersex (have a combination of male and female biological traits),2 or more races,AP Calculus BC or equivalent,Engineering/architecture,Yes,My experience in Calculus I made me decide not to take Calculus II.
Other:,Asian/Asian American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Modern language,No,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Gender fluid (gender identity and/or expression varies over time),Other:,Pre-calculus or Trigonometry,Law/government,Maybe,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Agender (don't identify as any gender),Hispanic/Latinx,Algebra 2 or College Algebra,Social sciences,Maybe,It is not required for my major / I have too many other courses that I need to complete.
Agender (don't identify as any gender),Black/African American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Education,Maybe,It is not required for my major / I have too many other courses that I need to complete.
"""Cis-gender woman (female at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Modern language,Yes,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Other:,Chemistry,Maybe,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
Gender fluid (gender identity and/or expression varies over time),Black/African American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Physics,No,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Other:,Mathematics,Maybe,It is not required for my major / I have too many other courses that I need to complete.
Agender (don't identify as any gender),Other:,AP Calculus AB or equivalent,Social sciences,No,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",2 or more races,AP Calculus AB or equivalent,English/communication,Maybe,I changed my major and now do not need to take Calculus II.
