What is your gender identity?,What is your race/ethnicity?,What was the highest mathematics course that you took before your current Calculus I course?,Pick the field that is closest to what you want to do after graduating. Select all that apply.,Do you plan to take Calculus II?,"If you answered no or maybe, why not?"
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Economics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Environmental science/studies,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),Other:,Social sciences,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Computer Science/technology,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Other:,Pre-calculus or Trigonometry,Education,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Visual arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Modern language,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Philosophy,No,"To do well in Calculus II, I would need to spend more timeand effort than I can afford."
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Education,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Business/finance,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),Other:,Visual arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,Algebra 2 or College Algebra,Engineering/architecture,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Law/government,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Medicine/health,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,Other:,Economics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Visual arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Physics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Environmental science/studies,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Black/African American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Social services,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Medicine/health,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Philosophy,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Mathematics,No,Other:
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Business/finance,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Social sciences,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Business/finance,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Philosophy,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Education,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Chemistry,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Medicine/health,No,I don't think I understand the ideas of Calculus I well enoughto take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Environmental science/studies,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Social sciences,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Education,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Hispanic/Latinx,AP Calculus BC or equivalent,Physics,No,My grade in Calculus I was not good enough to continue to Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,English/communication,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,AP Calculus BC or equivalent,Philosophy,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Physics,No,I changed my major and now do not need to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,Other:,Chemistry,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,Algebra 2 or College Algebra,Engineering/architecture,No,My grade in Calculus I was not good enough to continue to Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Engineering/architecture,No,"To do well in Calculus II, I would need to spend more timeand effort than I can afford."
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,AP Calculus BC or equivalent,Physics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Medicine/health,No,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,Pre-calculus or Trigonometry,Physics,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,English/communication,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Social sciences,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Physics,No,"To do well in Calculus II, I would need to spend more timeand effort than I can afford."
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,AP Calculus BC or equivalent,Visual arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Computer Science/technology,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,Other:,Chemistry,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,Pre-calculus or Trigonometry,Philosophy,No,My grade in Calculus I was not good enough to continue to Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Physics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,Algebra 2 or College Algebra,Computer Science/technology,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,AP Calculus AB or equivalent,Law/government,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,English/communication,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",2 or more races,Algebra 2 or College Algebra,Visual arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Education,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Earth and/or space science,No,My grade in Calculus I was not good enough to continue to Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Environmental science/studies,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Computer Science/technology,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,AP Calculus BC or equivalent,Physics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Modern language,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Education,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,Pre-calculus or Trigonometry,Economics,No,It is not required for my major / I have toomany other courses that I need to complete.
"""Cis-gender woman (female at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),Other:,Social sciences,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Philosophy,No,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Other:,Algebra 2 or College Algebra,Computer Science/technology,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Chemistry,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,AP Calculus AB or equivalent,Modern language,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Physics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,Pre-calculus or Trigonometry,Earth and/or space science,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Other:,Law/government,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Medicine/health,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Social sciences,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,Pre-calculus or Trigonometry,Environmental science/studies,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Hispanic/Latinx,AP Calculus AB or equivalent,Chemistry,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,AP Calculus AB or equivalent,Chemistry,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,Pre-calculus or Trigonometry,Social sciences,No,It is not required for my major / I have toomany other courses that I need to complete.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Modern language,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Modern language,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Computer Science/technology,No,It is not required for my major / I have toomany other courses that I need to complete.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Philosophy,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Computer Science/technology,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Performing arts,No,Other:
"""Cis-gender woman (female at birth, identify as a woman)""",Other:,Pre-calculus or Trigonometry,English/communication,No,I changed my major and now do not need to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,Other:,Medicine/health,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Chemistry,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,Other:,Medicine/health,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Performing arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Mathematics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Medicine/health,No,Other:
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Physics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Biology,No,It is not required for my major / I have toomany other courses that I need to complete.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Social services,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Other:,Pre-calculus or Trigonometry,Business/finance,No,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,Pre-calculus or Trigonometry,Education,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Other:,Law/government,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Visual arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Earth and/or space science,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Other:,Algebra 2 or College Algebra,Computer Science/technology,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Earth and/or space science,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Performing arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Biology,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Environmental science/studies,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Biology,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Other:,Law/government,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Other:,Economics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Performing arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Economics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,Algebra 2 or College Algebra,Computer Science/technology,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,AP Calculus BC or equivalent,Biology,No,I changed my major and now do not need to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Biology,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,Pre-calculus or Trigonometry,Biology,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Other:,AP Calculus BC or equivalent,Business/finance,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Physics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Pre-calculus or Trigonometry,English/communication,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Hispanic/Latinx,Algebra 2 or College Algebra,Philosophy,No,Other:
"""Cis-gender man (male at birth, identify as a man)""",Other:,Other:,Performing arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Modern language,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),AP Calculus BC or equivalent,English/communication,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Social sciences,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Other:,Environmental science/studies,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Social sciences,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,English/communication,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,Other:,Modern language,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Performing arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Hispanic/Latinx,Other:,Social services,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Chemistry,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,AP Calculus BC or equivalent,Social sciences,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Other:,Performing arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,AP Calculus BC or equivalent,Performing arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Hispanic/Latinx,Pre-calculus or Trigonometry,Law/government,No,I changed my major and now do not need to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Performing arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Social services,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Economics,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Chemistry,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Mathematics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,Algebra 2 or College Algebra,Physics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,AP Calculus BC or equivalent,Education,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Economics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Chemistry,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),Other:,English/communication,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,AP Calculus AB or equivalent,Environmental science/studies,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Medicine/health,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Performing arts,No,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Engineering/architecture,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Economics,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Black/African American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Modern language,No,I don't think I understand the ideas of Calculus I well enoughto take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Social sciences,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,AP Calculus BC or equivalent,Business/finance,No,It is not required for my major / I have toomany other courses that I need to complete.
"""Cis-gender woman (female at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Chemistry,No,I don't think I understand the ideas of Calculus I well enoughto take Calculus II.
